Title,Type,Genres,Description,Release Year,Age Certification,Runtime,IMDB ID,IMDB Score,IMDB Votes,Production Countries,Seasons,Rating
Raya and Sakina,MOVIE,"['drama', 'thriller', 'crime', 'history']","Dramatic rendition of a real life crime wave that terrorized the city of Alexandria, Egypt, between the years 1920 and 1922. Women are disappearing without a trace in what looked like the work of a serial killer. Being Egypt's first ever case of serial killings, the police is relentless and assigns the case to their best inspector. He traces the leads to sisters Raya and Sekina, but it becomes a race against time before they kill again.",1953,,105,tt0316472,6.8,231.0,['EG'],0.0,Average
The Blazing Sun,MOVIE,"['romance', 'crime', 'drama']","A rich landlord floods and destroys a village on purpose to prevent the people living there from making a profit off their crops. What he doesn't know is that his own daughter is in love with Ahmed, a young man from the village.",1954,,100,tt0044429,7.4,1219.0,['EG'],0.0,Best
White Christmas,MOVIE,"['romance', 'comedy', 'music']",Two talented song-and-dance men team up after the war to become one of the hottest acts in show business. In time they befriend and become romantically involved with the beautiful Haynes sisters who comprise a sister act.,1954,,115,tt0047673,7.5,42373.0,['US'],0.0,Best
Dark Waters,MOVIE,"['drama', 'action', 'romance', 'thriller']","Ragab, a poor sailor, returns home to Alexandria after three years of absence, during which he tried to save money to marry his one true love, Hamedah. But there's trouble on the harbor, and with an old friend.",1956,,120,tt0049761,6.7,590.0,['EG'],0.0,Average
Cairo Station,MOVIE,"['drama', 'crime', 'comedy']","Qinawi, a physically challenged peddler who makes his living selling newspapers in the central Cairo train station, is obsessed by Hanuma, an attractive young woman who sells drinks. While she jokes with him about a possible relationship, she is actually in love with Abu Siri, a strong and respected porter at the station who is struggling to unionize his fellow workers to combat their boss' exploitative and abusive treatment.",1958,,77,tt0051390,7.5,4385.0,['EG'],0.0,Best
Ujala,MOVIE,"['romance', 'crime', 'drama']","An honest man dreams of a better life for his family, but a childhood friend leads him into a world of crime that keeps happiness just out of reach.",1959,,142,tt0157132,6.7,78.0,['IN'],0.0,Average
Singapore,MOVIE,"['drama', 'thriller', 'crime']","When his employee disappears in Singapore, Shyam travels from India to investigate the absence and becomes entangled in a deadly plot.",1960,,158,tt0268639,6.4,82.0,['IN'],0.0,Average
The Guns of Navarone,MOVIE,"['war', 'action', 'drama']","A team of allied saboteurs are assigned an impossible mission: infiltrate an impregnable Nazi-held island and destroy the two enormous long-range field guns that prevent the rescue of 2,000 trapped British soldiers.",1961,,158,tt0054953,7.5,50150.0,"['US', 'GB']",0.0,Best
Professor,MOVIE,"['romance', 'comedy', 'drama']","Sita devi is a very strict aunt for a number of young ladies, and does not allow them to fraternize with males. Along comes Pritam disguised as an elderly Professor Khanna to break every possible rule of the aunt",1962,,163,tt0056379,6.8,285.0,['IN'],0.0,Average
Saladin the Victorious,MOVIE,"['drama', 'war', 'action', 'history', 'romance']","Saladin, the first sultan of Egypt and Syria, leads the Muslim military campaign against the invading Christians from Europe during the Third Crusade.",1963,,186,tt0057357,7.6,2470.0,['EG'],0.0,Best
My Fair Lady,MOVIE,"['drama', 'music', 'romance', 'family']",A snobbish phonetics professor agrees to a wager that he can take a flower girl and make her presentable in high society.,1964,G,170,tt0058385,7.8,94121.0,['US'],0.0,Best
Amrapali,MOVIE,['fantasy'],"After a failed conquest, Emperor Ajaatshatru pretends to be a soldier in the enemy's army to weaken them from the inside. However, he falls in love with Amrapali by faking his identity.",1966,,120,tt0060104,6.7,225.0,['IN'],0.0,Average
The Professionals,MOVIE,"['western', 'action', 'european']",An arrogant Texas millionaire hires four adventurers to rescue his kidnapped wife from a notorious Mexican bandit.,1966,PG-13,117,tt0060862,7.3,16168.0,['US'],0.0,Best
Bonnie and Clyde,MOVIE,"['drama', 'crime', 'action']","In the 1930s, bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",1967,R,110,tt0061418,7.7,111189.0,['US'],0.0,Best
The Queen,MOVIE,['documentation'],"In 1967, New York City is host to the Miss All-American Camp Beauty Pageant. This documentary takes a look behind the scenes, transporting the viewer into rehearsals and dressing rooms as the drag queen subculture prepares for this big national beauty contest. Jack/Sabrina is the mistress of ceremonies, and their protÃ©gÃ©, Miss Harlow, is in the competition. But, as the pageant approaches, the glamorous contestants veer from camaraderie to tension.",1968,,68,tt0183686,7.2,1117.0,['US'],0.0,Best
Prince,MOVIE,['romance'],"To better himself, a spoiled prince temporarily assumes a commoner's identity. But he soon learns his palace has been gifted to his father's new wife.",1969,,152,tt0064842,6.9,168.0,['IN'],0.0,Average
Monty Python's Flying Circus,SHOW,"['comedy', 'european']","A British sketch comedy series with the shows being composed of surreality, risquÃ© or innuendo-laden humour, sight gags and observational sketches without punchlines.",1969,TV-14,30,tt0063929,8.8,72895.0,['GB'],4.0,Best
Lal Patthar,MOVIE,['drama'],"Raja Kumar Bahadur alias Gyan Shankar Rai has been a total abstainer all his life, never touching a drop of alcohol, and keeping away from women and all known vices all his life. Then one day he sees a young woman named Saudamani, and instantly falls in love with her. He finds out about her background, and virtually buys her, and brings her to his palatial home. This is when he takes to drinking, and wooing her, and renaming her Madhuri, but refrains from marrying her. Years later, he sees another beautiful woman, about half his age, named Sumita, meets with her parents, pays off their debts, and marries her in the bargain.",1971,,153,tt0237395,6.2,137.0,['IN'],0.0,Average
Dirty Harry,MOVIE,"['thriller', 'crime', 'action']","When a madman dubbed 'Scorpio' terrorizes San Francisco, hard-nosed cop, Harry Callahan â€“ famous for his take-no-prisoners approach to law enforcement â€“ is tasked with hunting down the psychopath. Harry eventually collars Scorpio in the process of rescuing a kidnap victim, only to see him walk on technicalities. Now, the maverick detective is determined to nail the maniac himself.",1971,R,102,tt0066999,7.7,153463.0,['US'],0.0,Best
